G1344	δικαιόω
G4678	σοφία
G3759	οὐαί
G5523	Χοραζίν
G966	Βηθσαϊδά
G5184	Τύρος
G4605	Σιδών
G3819	πάλαι
G4526	σάκκος
G4700	σποδός
G4133	πλήν
G5312	ὑψόω
G86	ᾅδης
G3360	μέχρι(ς)
G4680	σοφός
G4908	συνετός
G3516	νήπιος
G2107	εὐδοκία
G5412	φορτίζω
G373	ἀναπαύω
G2218	ζυγός
G5011	ταπεινός
G372	ἀνάπαυσις
G5543	χρηστός
G5413	φορτίον
G1645	ἐλαφρός
G4521	σάββατον
G4702	σπόριμος
G5089	τίλλω
G4719	στάχυς
G1832	ἔξεστι(ν)
G314	ἀναγινώσκω
G4286	πρόθεσις
G953	βεβηλόω
G338	ἀναίτιος
G2613	καταδικάζω
G3584	ξηρός
G1905	ἐπερωτάω
G2723	κατηγορέω
G1706	ἐμπίπτω
G999	βόθυνος
G2573	καλῶς
G600	ἀποκαθίστημι
G5199	ὑγιής
G4824	συμβούλιον
G5318	φανερός
G140	αἱρετίζω
G2051	ἐρίζω
G2905	κραυγάζω
G4937	συντρίβω
G2608	κατάγνυμι
G3043	λίνον
G5188	τύφομαι
G4570	σβέννυμι
G3534	νῖκος
G1679	ἐλπίζω
G1839	ἐξίστημι
G3307	μερίζω
G2049	ἐρημόομαι
G5348	φθάνω
G4632	σκεῦος
G1283	διαρπάζω
G4650	σκορπίζω
G988	βλασφημία
G165	αἰών
G4051	περίσσευμα
G692	ἀργός
G4592	σημεῖον
G3428	μοιχαλίς
G2495	Ἰωνᾶς
G2836	κοιλία
G2785	κῆτος
G5140	τρεῖς
G3536	Νινευίτης
G2632	κατακρίνω
G2782	κήρυγμα
G938	βασίλισσα
G3558	νότος
G4009	πέρας
G1330	διέρχομαι
G504	ἄνυδρος
G5117	τόπος
G3606	ὅθεν
G4980	σχολάζω
G4563	σαρόω
G2885	κοσμέω
G2033	ἑπτά
G79	ἀδελφή
G123	αἰγιαλός
G3850	παραβολή
G2719	κατεσθίω
G4075	πετρῶδες
G1816	ἐξανατέλλω
G899	βάθος
G2739	καυματίζω
G3583	ξηραίνω
G4155	πνίγω
G1540	ἑκατόν
G1835	ἑξήκοντα
G5144	τριάκοντα
G3466	μυστήριον
G4920	συνίημι
G378	ἀναπληρόω
G4394	προφητεία
G3975	παχύνομαι
G917	βαρέως
G2576	καμμύω
G4340	πρόσκαιρος
G2347	θλῖψις
G1375	διωγμός
G3308	μέριμνα
G539	ἀπάτη
G4149	πλοῦτος
G4846	συμπνίγω
G175	ἄκαρπος
G1211	δή
G2592	καρποφορέω
G3908	παρατίθημι
G4690	σπέρμα
G4687	ἐπισπείρω
G2215	ζιζάνιον
G303	ἀνά
G985	βλαστάνω
G4159	πόθεν
G1610	ἐκριζόω
G260	ἅμα
G4885	συναυξάνομαι
G2327	θεριστής
G1197	δέσμη
G2848	κόκκος
G4615	σίναπι
G3001	λάχανον
G2681	κατασκηνόω
G2798	κλάδος
G2219	ζύμη
G1470	ἐγκρύπτω
G224	ἄλευρον
G4568	σάτον
G2220	ζυμόω
G5565	χωρίς
G2044	ἐρεύγομαι
G2602	καταβολή
G1285	διασαφέω
G4930	συντέλεια
G4625	σκάνδαλον
G2575	κάμινος
G1584	ἐκλάμπω
G59	ἀγοράζω
G1713	ἔμπορος
G4186	πολύτιμος
G4097	πιπράσκω
G4522	σαγήνη
G1085	γένος
G307	ἀναβιβάζω
G30	ἄγγος
G873	ἀφορίζω
G3100	μαθητεύω
G3332	μεταίρω
G3968	πατρίς
G5045	τέκτων
G3137	Μαριάμ
G820	ἄτιμος
G570	ἀπιστία
G5076	τετραάρχης
G1754	ἐνεργέω
G659	ἀποτίθημι
G2266	Ἡρῳδιάς
G1077	γενέσια
G700	ἀρέσκω
G4264	προβιβάζω
G4094	πίναξ
G3076	λυπέω
G607	ἀποκεφαλίζω
G5342	φέρω
G4430	πτῶμα
G3979	πεζῇ
G732	ἄρρωστος
G1033	βρῶμα
G4002	πέντε
G2127	εὐλογέω
G2806	κλάω
G2801	κλάσμα
G2894	κόφινος
G4134	πλήρης
G4000	πεντακισχίλιοι
G315	ἀναγκάζω
G4712	στάδιος
G1727	ἐναντίος
G5067	τέταρτος
G5326	φάντασμα
G5401	φόβος
G2670	καταποντίζομαι
G1949	ἐπιλαμβάνομαι
G1365	διστάζω
G2869	κοπάζω
G230	ἀληθῶς
G1082	Γεννησαρέτ
G1295	διασῴζω
G3845	παραβαίνω
G3862	παράδοσις
G4245	πρεσβύτερος
G5091	τιμάω
G2551	κακολογέω
G5623	ὠφελέω
G208	ἀκυρόω
G5491	χεῖλος
G4206	πόρρω
G3155	μάτην
G4576	σέβομαι
G1319	διδασκαλία
G1778	ἔνταλμα
G2840	κοινόω
G5451	φυτεία
G5452	φυτεύω
G3595	ὁδηγός
G3594	ὁδηγέω
G5419	φράζω
G188	ἀκμήν
G801	ἀσύνετος
G3539	νοέω
G1531	εἰσπορεύομαι
G5562	χωρέω
G856	ἀφεδρών
G2548	κἀκεῖνος
G1261	διαλογισμός
G5408	φόνος
G3430	μοιχεία
G2829	κλοπή
G5577	ψευδομαρτυρία
G449	ἄνιπτος
G5478	Χαναναῖος
G2065	ἐρωτάω
G997	βοηθέω
G2952	κυνάριον
G5589	ψίξ
G5132	τράπεζα
G5599	ὦ
G2948	κυλλός
G4357	προσμένω
G3523	νῆστις
G1590	ἐκλύομαι
G2047	ἐρημία
G2485	ἰχθύδιον
G377	ἀναπίπτω
G2168	εὐχαριστέω
G4711	σπυρίς
G5070	τετρακισχίλιοι
G3093	Μαγαδάν
G1925	ἐπιδείκνυμι
G2105	εὐδία
G4449	πυρράζω
G4404	πρωΐ
G5494	χειμών
G4768	στυγνάζω
G1252	διακρίνω
G1950	ἐπιλανθάνομαι
G1260	διαλογίζομαι
G3768	οὔπω
G3421	μνημονεύω
G2542	Καισάρεια
G920	Βαριωνᾶ
G4561	σάρξ
G129	αἷμα
G1577	ἐκκλησία
G2729	κατισχύω
G2807	κλείς
G1291	διαστέλλομαι
G3958	πάσχω
G5154	τρίτος
G4355	προσλαμβάνομαι
G2436	ἵλεως
G5426	φρονέω
G533	ἀπαρνέομαι
G2770	κερδαίνω
G2210	ζημιόω
G465	ἀντάλλαγμα
G1538	ἕκαστος
G4234	πρᾶξις
G1089	γεύομαι
G1803	ἕξ
G399	ἀναφέρω
G3339	μεταμορφόομαι
G4814	συλλαλέω
G4633	σκηνή
G3507	νεφέλη
G1982	ἐπισκιάζω
G1869	ἐπαίρω
G3705	ὅραμα
G1120	γονυπετέω
G4178	πολλάκις
G571	ἄπιστος
G1294	διαστρέφω
G4219	πότε
G430	ἀνέχομαι
G570	ὀλιγοπιστία
G1782	ἔνθεν
G101	ἀδυνατέω
G4962	συστρέφω
G1323	δίδραχμον
G4399	προφθάνω
G2778	κῆνσος
G245	ἀλλότριος
G1658	ἐλεύθερος
G44	ἄγκιστρον
G4715	στατήρ
